match_id,group,home_team,away_team,date_utc,venue
1,A,Mexico,South Africa,2026-06-11T19:00:00Z,"Estadio Azteca, Mexico City"
2,A,South Korea,UEFA Playoff D,2026-06-12T02:00:00Z,"Estadio Akron, Guadalajara"
3,B,Canada,UEFA Playoff A,2026-06-12T19:00:00Z,"BMO Field, Toronto"
4,D,USA,Paraguay,2026-06-13T01:00:00Z,"SoFi Stadium, Los Angeles"
5,D,Australia,UEFA Playoff C,2026-06-13T04:00:00Z,"BC Place, Vancouver"
6,B,Qatar,Switzerland,2026-06-13T19:00:00Z,"Levi's Stadium, Santa Clara"
7,C,Brazil,Morocco,2026-06-13T22:00:00Z,"MetLife Stadium, East Rutherford"
8,C,Haiti,Scotland,2026-06-14T01:00:00Z,"Gillette Stadium, Boston"
9,E,Germany,Curaçao,2026-06-14T17:00:00Z,"NRG Stadium, Houston"
10,F,Netherlands,Japan,2026-06-14T20:00:00Z,"AT&T Stadium, Dallas"
11,E,Côte d'Ivoire,Ecuador,2026-06-14T23:00:00Z,"Lincoln Financial Field, Philadelphia"
12,F,UEFA Playoff B,Tunisia,2026-06-15T02:00:00Z,"Estadio BBVA, Monterrey"
13,H,Spain,Cabo Verde,2026-06-15T16:00:00Z,"Mercedes-Benz Stadium, Atlanta"
14,G,Belgium,Egypt,2026-06-15T19:00:00Z,"Lumen Field, Seattle"
15,H,Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,"Hard Rock Stadium, Miami"
16,G,Iran,New Zealand,2026-06-16T01:00:00Z,"SoFi Stadium, Los Angeles"
17,J,Austria,Jordan,2026-06-16T04:00:00Z,"Levi's Stadium, Santa Clara"
18,I,France,Senegal,2026-06-16T19:00:00Z,"MetLife Stadium, East Rutherford"
19,I,FIFA Playoff 2,Norway,2026-06-16T22:00:00Z,"Gillette Stadium, Boston"
20,J,Argentina,Algeria,2026-06-17T01:00:00Z,"GEHA Field at Arrowhead Stadium, Kansas City"
21,K,Portugal,FIFA Playoff 1,2026-06-17T17:00:00Z,"NRG Stadium, Houston"
22,L,England,Croatia,2026-06-17T20:00:00Z,"AT&T Stadium, Dallas"
23,L,Ghana,Panama,2026-06-17T23:00:00Z,"BMO Field, Toronto"
24,K,Uzbekistan,Colombia,2026-06-18T02:00:00Z,"Estadio Azteca, Mexico City"
25,A,UEFA Playoff D,South Africa,2026-06-18T16:00:00Z,"Mercedes-Benz Stadium, Atlanta"
26,B,Switzerland,UEFA Playoff A,2026-06-18T19:00:00Z,"SoFi Stadium, Los Angeles"
27,B,Canada,Qatar,2026-06-18T22:00:00Z,"BC Place, Vancouver"
28,A,Mexico,South Korea,2026-06-19T01:00:00Z,"Estadio Akron, Guadalajara"
29,D,UEFA Playoff C,Paraguay,2026-06-19T04:00:00Z,"Levi's Stadium, Santa Clara"
30,D,USA,Australia,2026-06-19T19:00:00Z,"Lumen Field, Seattle"
31,C,Scotland,Morocco,2026-06-19T22:00:00Z,"Gillette Stadium, Boston"
32,C,Brazil,Haiti,2026-06-20T01:00:00Z,"Lincoln Financial Field, Philadelphia"
33,F,Tunisia,Japan,2026-06-20T04:00:00Z,"Estadio BBVA, Monterrey"
34,F,Netherlands,UEFA Playoff B,2026-06-20T17:00:00Z,"NRG Stadium, Houston"
35,E,Germany,Côte d'Ivoire,2026-06-20T20:00:00Z,"BMO Field, Toronto"
36,E,Ecuador,Curaçao,2026-06-21T00:00:00Z,"GEHA Field at Arrowhead Stadium, Kansas City"
